stars,comment
5.0 out of 5 stars,"







  
  
    I resisted and resisted.  A watch was to tell time and that was the only thing I needed one for.  Who wanted to be bothered with charging, syncing, Bluetooth connections and basically managing another high maintenance device?  Not this guy.  Then my sister bought me a Pebble.  Hard to imagine a more dysfunctional product, but it did tell the time and held a charge for up to a month with an always-on clockface.  Getting alerts on my watch was handy...when it worked.  Went through several upgrade cycles with Pebble until they went under, then moved on to Fitbit Versa.  More functionality, but much worse battery life (5 days) and the watch face was not always on...another dysfunctional product.When the Versa broke, I did consider the Versa 2.  It seemed to have a lot of the same issues as the original.  Then I saw that the Apple Series 5 had an always-on clock face and I jumped in.  I wont give you the most technical review, as that can be googled quickly anywhere.  What I can do is give the perspective of someone upgrading from the Pebble/Versa environment.What the Series 5 brings that is the most significant is the always-on clock face.  As a physician in patient rooms, the worst thing you can do is deliberately lift up your arm to get your watch to come alive to see the time or look at pages or texts (figuratively speaking, actually a lot worse things can be done).  I have not once done this and not had someone comment that they thought they were wasting my time, so I just stopped checking my watch.  Always on is a social must-have feature, or you are that douchy guy who is obviously checking the time while talking to people.  On the Versa the motion needed to turn on was so poorly designed and deliberate that you would have to repeatedly and deliberately flick your wrist to see the time.  I am so glad that thing broke.  Other cool but less important features include a really good compass and women's health tracker.  I'm sure that there are plenty of dudes out there like me who like to pretend to have a cycle and track it on our watches so...just sayin.  Bonus.Not going to get into all of the other heath features which are not new to this model.  The fitness tracker is cool and auto-detects activity quite well.  Apple still trails Fitbit in sleep tracking, though.  The battery is new in some way.  Tear downs show a new design which likely helps to account for the same battery life with the always-on screen.  I want at least a week of charge though.  Let's go, Apple.Compared to the Versa, Fossil and others, this is just a polished, well made device.  The quality is apparent immediately.  The 40mm version is a thin, appropriate wrist size.  IMO the 44mm just looks too big and bulky.  The band is really comfortable and super easy to swap out.  The connection to iPhone is perfect - no disconnects and really excellent haptics.  I have yet to explore all of the apps and features but navigating the watch is no different than an iPhone with regard to gestures - swipe down for alerts, swipe up for control center.Pros:- Always on display!!!- Thinner than Series 4 - not as bulky- Handsome, solid, quality build and feel- Perfect iPhone integration and connection- Great haptics- Intuitive controls- Really comfy band which is one touch on/off - no fussing with the band.  Great design.Cons:- Cost (relative to others)- Battery life - charge it every night- Screen scratches easily - get a screen protectorFinal word:  I am really glad that my Versa is sitting in a midden pile decomposing.  I regret that I did not get an Apple Watch sooner - although always on was the deal-maker for me.  Battery life is still low and there is now yet another device to manage charging for, but if you can deal with that then there is no reason to buy a different smart watch.Update:  I purchased a very handy nightstand device for charging my phone and watch.  The watch is so easy to pop on and off and just drop onto the stand that the charging issue is really a non-issue, much to my surprise.  Now when I charge my phone at night, which i routinely do, the watch drops right alongside it.  Easy peasy.Update #2: Still love the watch.  I was playing with my dog on a tile floor when I heard a crunch.  Lifted the watch to see a bunch of deep scratches on the glass.  Checked online and replacing the screen is a $300 affair.  I am going to try to polish it out, but for god sake use a screen protector.TIP - Scratch removal: Not really part of the review, but I could not find any decent way to get the scratches out of the watch surface.  After about 3 weeks and multiple different products and trials, practicing on old watches, I finally was successful with a technique using a Dremel, felt pad, auto sandpaper (600 down to 3000 grit) and Cerium Oxide.  It was actually quite easy once I got it.  Very smooth surface - not factory smooth, but smooth.  Happy to coach anyone through it if wanted.  Buy a $10 watch and practice on that first.
  
"
5.0 out of 5 stars,"







  
  
    Everything about this watch is wonderful. I went from the series one to this one (series five). There’s a major difference in speed as there should be. Very comfortable. Comes with 2 bands, charger cube and cord. I bought a protective case for the watch face since I’ll be using my watch while I work. Absolutely No complaints about this watch.
  
"
5.0 out of 5 stars,"







  
  
    I just purchased this watch to replace my Fitbit Versa that replaced by Apple Watch from 2016. I hated the Fitbit, but made due with it until I could purchase this watch. I am happy to be back on the Apple circuit, although I do want to share my initial frustration with the watch. The battery ran down super fast on the first two days that I had it, to the point it was running through about 10% per hour and died on me during a workout. I was about ready to head to Apple to complain but I gave it one more day and it started working great on the third day after a full charge from O%. Point is, if you are having an issue with the battery, give it a couple of days. Now I am super happy with the switch back and am loving the new watch, with great battery life!
  
"
5.0 out of 5 stars,"







  
  
    I’m upgrading from a Series 1, so I was bound to be impressed. With that being said, much faster, nice to have the bigger screen, and the always on screen is really helpful. It always took a tap to wake the screen on my Series 1, so nice to be able to just glance down at the time.
  
"
5.0 out of 5 stars,"







  
  
    This watch is amazing. Ordering it off amazon made it super easy to receive and purchase. It came in beautiful condition and am very happy with the way it looks and works.
  
"
4.0 out of 5 stars,"







  
  
    I was going to leave a one star review and try to return my watch after five days of having it because the battery life was absolutely ridiculous. It only lasted 9hrs max. Before I left the review I decide to check for an update just in case. There was an update and even though fixing battery life wasn’t listed in the list of fixes it completely changed the battery life and some other bugs I was experiencing. I can see my watch lasting about two days now. Only four stars because the layout of the health app/activity app suck compared to the Fitbit app. I miss the Fitbit app and battery life of my charge 3 but it’s awesome to have the added capabilities of the Apple Watch.  The Apple Watch tracks less calories burned and less steps than my Fitbit did but I feel like it is more accurate.
  
"
1.0 out of 5 stars,"







  
  
    Only purchased 1 week and already got a piece of paint off....the quality is horrible. Battery isn’t as good as I expect, after wearing a day, only got 20% battery life left
  
"
5.0 out of 5 stars,"







  
  
    Quality item, fun to use, helps you communicate easier. Well done. A nice item.
  
"
1.0 out of 5 stars,"







  
  
    ProsECG readings, Pulse rate is very accurate24/7 pulse monitoring, Weather on the wrist. Noise decibel readings.ConsThere is a disconnect between Siri and the message system, wireless ear bud becomes worthless. Siri won’t read messages or dial phone.  The battery life is very weak, needs to be charged daily. Battery life doesn’t allow 24/7 monitoring of pulse. Screen is too small to read messages. Cost of the unit for what it does. Message notifications are worthless. Looses connection 20’ away.
  
"
4.0 out of 5 stars,"







  
  
    I’ve gone from (automatic) mechanicals & a g-shock, to my first Apple Watch. I work in manufacturing and knew that this watch would come in quite handy. So far, I’m loving the Noise app (hearing protection isn’t required, but sometimes it can get loud, and I’d like to protect my hearing), and the ability to view notifications as they come in, especially if it’s from my Nest doorbell. I can quickly decline calls, and even scribble a quick text on the watch. I also use this at the gym, so that I can accurately track my workouts, and conveniently switch songs.You get a lot of options for the information that you want to show on the wallpaper, and you can adjust it right on the watch itself, instead of going through the app.The battery lasts me all day, like it should. I don’t like the feeling of wearing socks or long pants in bed, much less a watch, so I simply charge it at night. The charger itself is pretty cool, as it magnetically snaps onto the back of the watch.The only con for me, is the lack of a sapphire crystal for the screen. At this price, it should’ve been available on this model, and not just the pricier ones. I somehow managed to keep it from getting scratched at work, before finally buying some screen protectors a couple weeks later. Since it’s aluminum, I don’t feel the need to the protect the sides from getting scratched up. Polished stainless steel is another story, though. Absolute scratch magnet.I guess a longer battery life wouldn’t hurt either.I will also add that the 40mm case fits superbly on my 6” wrist. Overall, I’m very satisfied with my purchase. Unintentionally, I’ve even inspired some friends and family members to buy one for themselves.
  
"
4.0 out of 5 stars,"







  
  
    This is another great product from Apple.  They have made a lot of improvements since the series 5.  The response time of the watch is much faster than before (and it is actually slightly bigger as well).  It does a great job at keeping track of my steps, heart rate and sleeping.  It is very convenient when my phone is charging but I can at least see the messages I received from the watch and not have to go grab the phone every time.The only down side is that the battery needs to be charged about once a day (maybe a day in half sometimes).  I wish it was like the Fitbit where you can go 5-6 days between charges.
  
"
5.0 out of 5 stars,"







  
  
    The best Smart Watch money can buy. Like the rest of my Apple gadgets, I love my Apple Watch. The gentle haptic feedback for useful alerts makes the Watch experience a lot better. It’s the best accessory Apple has pioneered and it’s ahead of the competition for a long time to count. If you’re into smart watch, the best option is an Apple Watch. The solid feeling of the hardware and soft feeling of the software is incomparable to the rest.
  
"
2.0 out of 5 stars,"







  
  
    Most unsatisfying. Band is cheap and I’ll-fitting. Battery awful.
  
"
5.0 out of 5 stars,"







  
  
    I had the 1st series before this and the difference is huge. Love this watch! I like that the screen stays on all the time. I don’t have an issue with the battery but I don’t play on my watch a lot. I text and check texts and sometimes I answer the phone on it but it’s more just a watch, check quick messages, and alarm for me. I feel it tracks your steps pretty well and the heart rate monitor is good. It also has some good features like fall detection and heart arrhythmia checks. I know there are a lot more features to this watch but I haven’t used them all but I really like this watch.
  
"
5.0 out of 5 stars,"







  
  
    Bought it because I had two heat attacks three weeks apart and to monitor my heart beat but it lets me control most of all my activity I have on myphone on my watch at the gym change song tracks control the volume keep track of my steps calories etc; life saver so far pun intended
  
"
4.0 out of 5 stars,"







  
  
    I have had this for about 3 days and I LOVE it! I had a Fitbit for several years and what a change this is from that! So far, the only reason it has 4 stars is because of the short battery life. I did just find out how to dim it, so hopefully that will prolong it, but right now I am charging it every other day.  I love the multitude of faces to choose from though. So far, totally worth the $$$.
  
"
4.0 out of 5 stars,"







  
  
    The EKG feature is neat and the display looks nice. The heart rate detector feature looks fairly accurate as well. The only real complaint I have is the battery life is much shorter than the series 3. The battery life with the screen on all the time is approximately 1 day. GPS notifications tank it out very quickly. If you shut off the always on mode you can get approximately 2 days of battery life.
  
"
5.0 out of 5 stars,"







  
  
    This is the greatest device I've ever had. I do not wear it at night so I don't know how it would perform for sleep tracking. I use it to monitor my healthy activities i.e., moving, exercising, and standing. It communicates with my iPhone and the statistics are kept there. I use it for purchase payment and it's great not to drag a credit card out of my wallet to complete the transaction. It's great for telling time and the multiple watch faces make it customizable.
  
"
5.0 out of 5 stars,"







  
  
    Love this watch.  I have no time to check emails all day at work, and we aren’t supposed to have our phones visible, so this is perfect. I have all work emails, personal reminders, calls, and texts notifications, so I miss nothing anymore.And knowing the time and date helps to ;)I had a Fitbit Blaze for years and loved it, but the Apple Watch does so much more.  I only wish the battery life on the Apple was as good as Fitbit.  Trade offs.
  
"
4.0 out of 5 stars,"







  
  
    Love the watch, it’s my first Apple Watch and I use it all the time. The battery lasts me from 4:30 in the morning when I wake up til 9pm when I go to bed. But for some reason the always on display doesn’t work half the time even though it’s set to be on. Love all the features etc.
  
"
1.0 out of 5 stars,"







  
  
    The heart monitor never worked properly. The company was sued but managed to buy its way out of it. Being that it’s claim to glory was the monitor, it makes all their models just some overpriced wrist watches.
  
"
5.0 out of 5 stars,"







  
  
    Seriously, what’s not to love? It’s an Apple Watch, they’re very clear about what it can and cannot do. Battery life doesn’t bother me bc I don’t want to wear it all day every day, and it charges very quickly.
  
"
1.0 out of 5 stars,"







  
    Nunca se me ha quebrado la pantalla de un iphone (3, 5, 5s, 6, 7, X, XS) la pantalla del reloj se me quebro a las 2 semanas por una simple caída luego de sacarlo de la base de carga (todos los días hay que cargarlo).
  
  
"
5.0 out of 5 stars,"







  
  
    It's definately the best watch if you looking for a good one. Little bit pricy compared to other brands but it is a smooth and perfectly pair with your iPhone. The only thing that I want to remind is the size. I tried in Apple Store for a short time and 40 mm is not the best option for me. After using few days you feel like it can be bigger. If you are using Apple devices like macbook and iphone this is the perfect option. I don't need to type my password for macbook which kind a cool.
  
"
1.0 out of 5 stars,"







  
  
    So my apple 2 watch died and I wanted to see if I could reduce my footprint - and buy a used/refurbished watch and upgrade.The watch works ok, but I have to consistently restart it as the screen becomes unresponsive. Like every other day. I do not expect this watch to last long and will not buy used again. Very disappointed and I do not expect that returning and trying again will work out any better so I will just reset it all the time until it quits on me. Friends, if you want a watch that works - do not buy from amazon.
  
"
5.0 out of 5 stars,"







  
  
    I absolutely love this watch!! I've wanted one for some time now and finally bought one and am very happy I did. I wish the battery life was longer but other than that I have no complaints.
  
"
5.0 out of 5 stars,"







  
  
    I got this for Christmas and I love it. Our use it for phone calls and texting and checking the weather and monitoring my health information and as a step counter instead of my old Fitbit zip.
  
"
4.0 out of 5 stars,"







  
  
    This is my first ever apple watch. I bought this for Thanksgiving. I have heard from many people that series 5 doesn't have many new features but still, I went for it. The battery lasts not more than a day even though you just use to check notifications. This is the only thing that could have been better, other than this I liked every feature in it especially the workout tracking and suggestions that it gives for healthy habits and that helps much if you are a 9-5 office guy.
  
"
5.0 out of 5 stars,"







  
  
    Great product. Watch os6 makes it even better. Such a world of information in such a little space! Love it!
  
"
5.0 out of 5 stars,"







  
  
    Can easily scratch if you are not careful
  
"
5.0 out of 5 stars,"







  
  
    Now this isn't going to be an in depth review about all of its pro and cons as everything in this world has them. But I am going to be very clear, this is not something you buy for the ""name"".There are many things that apple makes, and various other companies that are overpriced due to its ""name"" for a lack of better words. This is not one of them, not even close. It doesn't even compare to other watches, it is out of the norm and has crazy improvements and features over previous versions and other competitors.This is the best smart watch you can buy at this price, and honestly at any price. It is the most high quality product from apple, and you can see it in the end product. It is a master craft of watches, it is just down right amazing.
  
"
5.0 out of 5 stars,"







  
  
    Great watch. Love the new ECG app, and I really appreciate that Apple Watch will actually notify you of irregular heart rates and rhythms. Feels very sturdy and well made. Love the addition of an “always on” screen as it fully functions as a normal watch would now. Battery life is great and on par or slightly better than Series 3, even with the always on mode. The only thing that lacks is sleep tracking, however, there are 3rd party apps in the store that allow for it. I believe this is because sleep tracking is actually still very gimmicky and the sleep cycles are not accurately read on most smart watches. So until the science behind it catches up, I don’t see Apple implementing this on their own any time soon. I would recommend, more future proof than buying Series 3. This watch should carry you for a couple years or more before you feel the need upgrade.
  
"
2.0 out of 5 stars,"







  
  
    I am a lover of apple products, but this arch is not very good. Battery life is 12 hrs at best with the display in the off setting.  If you don’t turn off the constant display you can’t even get 8 hours.  I had it less than a week before deciding that my Fitbit watch was way better.  The Fitbit ionic is far better for exercise tracker, watch.  My Fitbit battery is good for 3-5 days.  It has GPS is swimming proof, I get music from 2 different sources, on screen coaching, timer, alarm clock, everything I need in an easily accessible user friendly watch.Pros:Aesthetically pleasing.Single lead EKG capability (very limited & not worth the extra money)Apple Music capabilityCons:Battery life is non existent.  Less than 12 hrs.Doesn’t show tracked steps in teal time.Limited clock facesApps screen way too cluttered and small.Limited options for clock face capability.
  
"
1.0 out of 5 stars,"







  
  
    Went to apple.  Phone defective cannot be paired to iPhone.  Apple can’t do it.
  
"
5.0 out of 5 stars,"







  
  
    Love this watch, it has changed my life! A must have for all apple device users. Also it incorporates most of your apps from your phone to the watch very cool. Also on texts you can text and talk or write the letters individually or hot key emojis. I use this a lot when im busy walking around or running errands or driving. The best watch ever! There is also a ton of free fun games, my favorite is Kepiek Attack like space invaders but for the watch. I also recently hooked up apple pay and now I dont have to bring my wallet anywhere so easy! woots! Dont waste your money on the Cellular one, dont need it. This one does everything cellular does as long as your phone is inside your house or in your bag or back pocket.
  
"
1.0 out of 5 stars,"







  
  
    I can't go a day with using it and not recharging it. have it on airplane mode and wifi off... still doesn't last. going to return return it and spend it on a quality watch. Don't need stuff... just want to track my runs and WOD's. EKG does not work in all area.
  
"
5.0 out of 5 stars,"







  
  
    This is an awesome ..... (I don't really want to call it a ""Watch"" because it is so much more!) Watch(?).  It actually detected a heart episode that I was having one night. It ran a EKG on me (when I put it on) and showed that I was having an irregular heart beat.  My Wife is a Nurse so she knew what to look for.  Luckily it wasn't serious, and this is NO SUBSTITUTE for Emergency medical care.  It also detected (what it thought was) a fall, and offered to call for help! This thing is amazing!  It was expensive, but I would recommend it.
  
"
1.0 out of 5 stars,"







  
  
    No instructions. Plus, phone hanged for whole day!
  
"
5.0 out of 5 stars,"







  
  
    I love the apple watch for its fitness tracking and precise estimates, however the series 5 is a bit overkill.The apple watch series 3 does basically everything for less, but my work would pay for one for me so i picked the more expensive version. The only benefit of the series 5 is always on display. I never use the always on display as it kills your battery extremely quickly and i use this mostly as a fitness tracker. Sometimes if im going to an event i’ll turn AOD on and put on a nice watch face but otherwise, just buy a series 3 if you like apples ecosystem
  
"
5.0 out of 5 stars,"







  
  
    Was a little skeptical going from basic fitbit to the newest apple watch, very worth it, love it! Battery life is better than expected, I can usually go an average of a day and a half sometimes more on one charge. Nice to have all the features and health monitoring right on my wrist ! It is comfortable, and has not fallen off my wrist yet. Very convenient as a student to basically have a phone on my wrist, not as distracting to others while in class if I have to send a quick text or check an email on my wrist. Wonderful to pair with airpods and listen to music seperate from my phone. It also can lock itself when it senses it is not on your wrist, very useful security feature.
  
"
5.0 out of 5 stars,"







  
  
    I initially held off purchasing an Apple Watch because I thought, why do I need it?  I have a number of other Apple products and figured the watch was not needed.  Well, I have changed my mind.  I thoroughly enjoy having, and using, my watch.  I am fairly self-motivated, but the watch takes my fitness to another level.  If I have not completed my ""rings"" early in the afternoon, I get up, go for a walk, or go to the gym.  I want to keep my ""streak"" alive.  This feature alone, is enough for me to recommend the watch.  But also being able read emails, text messages, see the weather, my heart rate, etc. just adds to the usefulness of this device.  I am very pleased with this watch and recommend it highly to anyone who needs that little ""extra"" motivation to get up and go exercise.
  
"
5.0 out of 5 stars,"







  
  
    I’m an older woman living alone and my sons suggested I get this watch for safety reasons. With its fall detection and SOS capability I feel much more secure in my home. I love that I can get calls and texts without being glued to my phone. I’ve only had it for a few weeks so I’m sure there is much more to learn and features to take advantage of but so far I love it!
  
"
5.0 out of 5 stars,"







  
  
    I use this watch primarily for running and working out. The GPS is awesome, I used to have a Garmin forerunner but the satellite took FOREVER to load and it was not super accurate. Love that the maps on this watch are great and it takes zero time to load. Tracking workouts is awesome, it also has pretty much every workout you could think of. Definitely recommend for athletes.
  
"
5.0 out of 5 stars,"







  
  
    I love my Apple Watch. I ended up returning the black and purchasing the white. I find it difficult to find after market bands with the same silver. This watch is amazing and lasts all day if I charge. I feel naked without it on and wish the battery could last a full 24! The constant connectivity takes some getting used to. Now I have no excuse when I ignore people because they know I have seen their messages. The 40 mm is perfect for a female wrist but too small for a male. The Included Apple band is much nicer quality than some extras I’ve gotten off of amazon. The constant notifications can be a bit distracting.
  
"
5.0 out of 5 stars,"







  
  
    I hesitated for years when the iwatches were launched. Not this year, I finally bought it. So many features! You can adjust the features to your preference, such a neat toy! I even bought a sophisticated watch band with bling bling and to this day, I receive many compliments. If you’re an Apple fan, you should definitely buy the watch.
  
"
5.0 out of 5 stars,"







  
  
    On the order it said, may have some minor scratches. But it came brand new with the box and looks perfect.In the box there was the charger, both M and S size bands.I charge it to full capacity and updates the iOS to 6.1.3.So far everything looks good for a *****Not sure about the battery life yet so I’m give a ****
  
"
5.0 out of 5 stars,"







  
  
    This new Apple Watch series 5 I have to say that it’s amazing. The point of a watch is to tell time at any time. Many smart watches lack that. Finally now we have this watch that never blacks out but the screen is on every time. I have to say this is an amazing watch I bought. The battery is way better than the older models plus I have been swimming in it and no damage at all.
  
"
5.0 out of 5 stars,"







  
  
    The Apple Watch didn’t change much from previous versions. If you are a fan of them you will enjoy this one as well. I discovered the walkie-talkie, a feature that is on all modes that allows you to use your watch as a walkie-talkie. This is convenient but not necessary since you can make phone calls with your watch. Overall the watch is great but unless you have to have the 5 wait for the 6 because it should have more upgrades.
  
"
5.0 out of 5 stars,"







  
  
    My wife loves it. It was $15 cheaper on amazon, and arrived the next morning. This was a just-because upgrade for her, the always on display is nice, and the new options for heart rate are a nice touch. Kudos to Apple. The design is no different than my series 3, or her previous series 1, but that’s Apple.
  
"
5.0 out of 5 stars,"







  
  
    This has more features than I expected. The only downer is that you have to download a separate app for sleep tracking and the battery isn’t that great for 24hr wear. I have to charge at night to ensure a good charge for the next day. But that was to be expected so I didn’t downgrade the rating for it.
  
"
5.0 out of 5 stars,"







  
  
    I love my Apple Watch it’s the best... only draw back is the battery life drains .... BUT IT CHARGES VERY FAST. I’m still getting g use to it but I really like it a lot! GREAT PRICE!
  
"
5.0 out of 5 stars,"







  
  
    Great Watch
  
"
5.0 out of 5 stars,"







  
  
    Could use a better battery
  
"
5.0 out of 5 stars,"







  
  
    I use it every day and the quality is excellent. I like it.
  
"
5.0 out of 5 stars,"







  
  
    It’s very good for everyone and everything I like it
  
"
5.0 out of 5 stars,"







  
  
    It’s an Apple Watch. What’s no to like?
  
"
5.0 out of 5 stars,"







  
  
    My wife loves this.  Works flawlessly.
  
"
5.0 out of 5 stars,"







  
  
    Works great for everything I need..sleep tracking, fitness tracking, and answering calls hands free! Wish the battery life was better but I can live with charging it twice a day!
  
"
5.0 out of 5 stars,"







  
  
    Great  product and pricing
  
"
5.0 out of 5 stars,"







  
  
    I like that it is so well integrated with my phone and can be used for swimming and tracking runs. I wish it had its own sleep app, but one can be downloaded from the App Store.
  
"
5.0 out of 5 stars,"







  
  
    People who complained about the battery life on here are tripping. The watch is great and literally will last the whole day. Of course you’re gonna have to eventually charge it but you do that with everything. Stop hating !
  
"
5.0 out of 5 stars,"







  
  
    Love the watch, battery sucks!
  
"
1.0 out of 5 stars,"







  
  
    Watch fell off counter top and cracked glass in the second month of use. Will not survive a 30 inch fall. Apple wants 279.00 to replace glass, digitizer and display are ok. If you buy this watch get apple care, but be warned they will only fix it twice. (they actually just replace watch)
  
"
5.0 out of 5 stars,"







  
  
    So far so good.
  
"
5.0 out of 5 stars,"







  
  
    Does what it supposed to no problems.
  
"
5.0 out of 5 stars,"







  
  
    I absolutely love it.!!
  
"
5.0 out of 5 stars,"







  
  
    Easy to set up item as described
  
"
1.0 out of 5 stars,"







  
  
    The watch that I received in an open box was a used looking Apple Watch. I don’t even know if it was the series 5.Be careful when you receive an open item!
  
"
5.0 out of 5 stars,"







  
  
    Nice watch
  
"
5.0 out of 5 stars,"







  
  
    Some think that it's not new, or that you won't have warranty if you buy from Amazon. I bought my Apple Watch in November 2019. When I went on Apple's website to check the warranty, it was valid until December 2020. It's a solid product as you would expect.
  
"
5.0 out of 5 stars,"







  
  
    Wanted the newest version of the iWatch, I love mine! Not much difference between the gen 4 and 5 though.
  
"
5.0 out of 5 stars,"







  
  
    A Christmas present for my wife. The watch looks very nice. Love the black. She uses so many of the attributes that this watch offers. The texting and fitness tracking are her fave. Such a clutch gift and she loves it. Great value.
  
"
4.0 out of 5 stars,"







  
  
    This watch was all I would have wanted for entertainment, and my training.  It arrived right on time, and after a few hours I was able to be fully acclimated to use it.  I won't leave the house with out it.  I like the ease and power of its options.
  
"
5.0 out of 5 stars,"







  
  
    This watch is very nice...but definitely NOT what I was looking for. I wanted a watch that offered more detail in terms of exercise. I decided on a Garmin.
  
"
5.0 out of 5 stars,"







  
  
    Good watch, but a costly one, but that's Apple.it does more than a watch.Battery lasts 2 days, a +1 for that.
  
"
